Month;Exports;Imports;Balance
September 2008;5,257.6;33,078.7;-27,821.1
October 2008;6,083.4;34,032.4;-27,949.0
November 2008;5,181.0;28,265.0;-23,084.1
December 2008;5,110.7;25,079.5;-19,968.8
January 2009;4,159.6;24,743.5;-20,583.8
February 2009;4,661.7;18,845.5;-14,183.8
March 2009;5,579.3;21,224.7;-15,645.5
April 2009;5,161.4;21,920.6;-16,759.2
May 2009;5,256.0;22,734.1;-17,478.1
June 2009;5,548.6;23,972.8;-18,424.2
July 2009;5,269.3;25,671.1;-20,401.8
August 2009;5,518.0;25,798.1;-20,280.1
September 2009;5,764.3;27,893.9;-22,129.6
October 2009;6,879.3;29,557.8;-22,678.5
November 2009;7,374.2;27,541.7;-20,167.6
December 2009;8,325.0;26,470.1;-18,145.1
January 2010;6,898.4;25,215.9;-18,317.6
February 2010;6,840.2;23,342.8;-16,502.6
March 2010;7,400.8;24,292.2;-16,891.4
April 2010;6,600.7;25,920.2;-19,319.5
May 2010;6,755.3;29,052.4;-22,297.2
June 2010;6,733.7;32,843.1;-26,109.4
July 2010;7,339.3;33,266.8;-25,927.6
August 2010;7,209.7;35,375.3;-28,165.6
September 2010;7,114.3;35,196.7;-28,082.4
October 2010;9,417.3;35,083.3;-25,666.0
November 2010;9,475.8;34,564.3;-25,088.4
December 2010;10,125.6;30,799.6;-20,674.0
January 2011;8,017.8;31,377.4;-23,359.6
February 2011;8,383.3;27,244.7;-18,861.4
March 2011;9,563.7;27,599.7;-18,035.9
April 2011;8,000.5;29,580.3;-21,579.8
May 2011;7,849.2;32,788.1;-24,938.9
June 2011;7,867.0;34,374.8;-26,507.8
July 2011;8,157.9;35,152.2;-26,994.3
August 2011;8,421.6;37,374.1;-28,952.5
September 2011;8,370.1;36,418.6;-28,048.6
October 2011;9,745.6;37,824.1;-28,078.5
November 2011;9,997.2;36,764.9;-26,767.7
December 2011;9,747.7;32,872.3;-23,124.6
January 2012;8,359.5;34,417.5;-26,058.1
February 2012;8,785.7;28,105.2;-19,319.5
March 2012;9,811.6;31,431.3;-21,619.8
April 2012;8,468.1;33,016.3;-24,548.1
May 2012;8,960.2;34,937.8;-25,977.7
June 2012;8,478.1;35,949.4;-27,471.2
July 2012;8,515.1;37,930.8;-29,415.7
August 2012;8,613.3;37,280.6;-28,667.3
September 2012;8,804.2;37,891.8;-29,087.6
October 2012;10,824.4;40,257.1;-29,432.7
November 2012;10,587.8;39,543.7;-28,955.9
December 2012;10,308.6;34,857.6;-24,548.9
January 2013;9,382.9;37,193.7;-27,810.7
February 2013;9,133.3;32,742.7;-23,609.4
March 2013;9,539.0;27,294.1;-17,755.0
April 2013;8,954.0;33,131.9;-24,178.0
May 2013;8,752.8;36,617.6;-27,864.8
June 2013;9,217.6;35,886.0;-26,668.4
July 2013;8,723.7;38,800.4;-30,076.7
August 2013;9,352.1;39,161.3;-29,809.2
September 2013;9,527.2;40,144.4;-30,617.2
October 2013;13,147.8;41,845.5;-28,697.7
November 2013;13,027.1;40,112.3;-27,085.2
December 2013;12,988.7;37,500.2;-24,511.6
January 2014;10,264.5;38,377.2;-28,112.7
February 2014;9,750.7;30,700.4;-20,949.7
March 2014;10,934.3;31,420.9;-20,486.6
April 2014;9,031.9;36,450.2;-27,418.3
May 2014;9,220.2;38,188.1;-28,968.0
June 2014;9,330.2;39,607.1;-30,276.9
July 2014;9,291.8;40,319.6;-31,027.8
August 2014;9,625.2;40,093.8;-30,468.6
September 2014;9,314.0;45,102.8;-35,788.8
October 2014;12,593.3;45,335.4;-32,742.0
November 2014;12,125.9;42,483.5;-30,357.6
December 2014;12,175.2;40,395.9;-28,220.7
January 2015;9,459.2;38,589.7;-29,130.5
February 2015;8,754.6;31,564.0;-22,809.4
March 2015;9,886.5;41,136.9;-31,250.4
April 2015;9,279.9;36,121.4;-26,841.5
May 2015;8,749.8;39,082.0;-30,332.2
June 2015;9,615.8;41,453.8;-31,838.1
July 2015;9,505.2;41,215.1;-31,709.9
August 2015;9,183.5;44,138.1;-34,954.6
September 2015;9,419.4;45,725.0;-36,305.5
October 2015;11,324.9;44,309.9;-32,985.1
November 2015;10,603.6;41,884.8;-31,281.2
December 2015;10,091.1;37,981.0;-27,889.9
January 2016;8,208.9;37,126.4;-28,917.5
February 2016;8,080.5;36,066.9;-27,986.4
March 2016;8,925.6;29,812.3;-20,886.8
April 2016;8,679.7;32,920.2;-24,240.5
May 2016;8,542.0;37,513.7;-28,971.8
June 2016;8,845.6;38,539.2;-29,693.6
July 2016;9,129.7;39,438.9;-30,309.2
August 2016;9,372.9;43,221.8;-33,848.9
September 2016;9,521.2;42,020.9;-32,499.8
October 2016;12,600.0;43,798.1;-31,198.1
November 2016;12,044.1;42,602.6;-30,558.5
December 2016;11,644.8;39,358.9;-27,714.1
January 2017;9,955.5;41,335.6;-31,380.0
February 2017;9,739.8;32,785.0;-23,045.1
March 2017;9,720.2;34,162.0;-24,441.8
April 2017;9,806.5;37,441.9;-27,635.4
May 2017;9,880.0;41,756.8;-31,876.8
June 2017;9,718.2;42,258.1;-32,539.9
July 2017;9,954.1;43,561.1;-33,607.0
August 2017;10,825.5;45,782.3;-34,956.9
September 2017;10,896.0;45,405.1;-34,509.1
October 2017;12,963.2;48,133.1;-35,169.9
November 2017;12,908.4;48,104.8;-35,196.4
December 2017;13,629.9;44,439.4;-30,809.5
January 2018;9,909.5;45,681.3;-35,771.9
February 2018;9,743.1;38,956.2;-29,213.1
March 2018;12,653.0;38,273.8;-25,620.8
April 2018;10,509.6;38,227.8;-27,718.2
May 2018;10,397.8;43,866.6;-33,468.8
June 2018;10,855.7;44,524.0;-33,668.3
July 2018;10,152.0;47,009.8;-36,857.8
August 2018;9,278.1;47,796.2;-38,518.1
September 2018;9,733.1;49,938.0;-40,204.9
October 2018;9,188.7;52,081.1;-42,892.4
November 2018;8,650.5;46,344.6;-37,694.1
December 2018;9,210.2;45,814.9;-36,604.6
January 2019;7,105.4;41,302.5;-34,197.1
February 2019;8,083.6;33,027.8;-24,944.2
March 2019;10,574.3;31,078.7;-20,504.4
April 2019;7,900.4;34,499.5;-26,599.0
May 2019;9,070.7;39,023.9;-29,953.2
June 2019;9,168.5;38,733.0;-29,564.5
July 2019;8,700.8;41,237.2;-32,536.3
August 2019;9,413.5;40,955.6;-31,542.1
September 2019;8,604.8;39,866.7;-31,261.9
October 2019;8,854.9;39,794.9;-30,940.0
November 2019;10,103.2;36,172.9;-26,069.7
December 2019;8,901.2;33,418.1;-24,517.0
